,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C)
0,-79.4,43.67,TORONTO,6158350,1996-01,1996,1,-1.3,-8.1,-4.7,13.4,-18.8
1,-79.4,43.67,TORONTO,6158350,1996-02,1996,2,-0.7,-6.9,-3.8,9.8,-18.1
2,-79.4,43.67,TORONTO,6158350,1996-03,1996,3,2.4,-4.2,-0.9,13.9,-15.0
3,-79.4,43.67,TORONTO,6158350,1996-04,1996,4,9.1,2.2,5.7,22.3,-3.8
4,-79.4,43.67,TORONTO,6158350,1996-05,1996,5,16.8,8.7,12.8,28.7,2.0
5,-79.4,43.67,TORONTO,6158350,1996-06,1996,6,23.3,15.2,19.3,31.9,10.8
6,-79.4,43.67,TORONTO,6158350,1996-07,1996,7,25.1,16.6,20.9,30.2,11.5
7,-79.4,43.67,TORONTO,6158350,1996-08,1996,8,26.2,18.1,22.1,30.1,14.4
8,-79.4,43.67,TORONTO,6158350,1996-09,1996,9,21.2,14.4,17.8,28.6,6.2
9,-79.4,43.67,TORONTO,6158350,1996-10,1996,10,13.5,7.7,10.6,23.1,1.0
10,-79.4,43.67,TORONTO,6158350,1996-11,1996,11,4.8,-0.2,2.4,18.4,-7.7
11,-79.4,43.67,TORONTO,6158350,1996-12,1996,12,3.3,-1.0,1.2,12.2,-11.7
12,-79.4,43.67,TORONTO,6158350,1997-01,1997,1,-0.7,-8.4,-4.6,11.0,-22.3
13,-79.4,43.67,TORONTO,6158350,1997-02,1997,2,2.6,-4.6,-1.0,11.2,-16.1
14,-79.4,43.67,TORONTO,6158350,1997-03,1997,3,3.5,-2.4,0.6,16.4,-9.5
15,-79.4,43.67,TORONTO,6158350,1997-04,1997,4,11.1,3.0,7.1,21.4,-8.5
16,-79.4,43.67,TORONTO,6158350,1997-05,1997,5,14.9,6.9,10.9,21.1,2.5
17,-79.4,43.67,TORONTO,6158350,1997-06,1997,6,25.2,15.9,20.6,32.9,10.0
18,-79.4,43.67,TORONTO,6158350,1997-07,1997,7,25.9,17.2,21.6,32.5,11.7
19,-79.4,43.67,TORONTO,6158350,1997-08,1997,8,24.1,16.2,20.2,31.2,11.5
20,-79.4,43.67,TORONTO,6158350,1997-09,1997,9,20.5,13.2,16.9,27.1,5.5
21,-79.4,43.67,TORONTO,6158350,1997-10,1997,10,14.2,7.4,10.8,25.3,-0.1
22,-79.4,43.67,TORONTO,6158350,1997-11,1997,11,6.3,1.5,3.9,13.7,-5.5
23,-79.4,43.67,TORONTO,6158350,1997-12,1997,12,3.0,-1.3,0.8,8.1,-15.7
24,-79.4,43.67,TORONTO,6158350,1998-01,1998,1,1.9,-3.3,-0.7,12.0,-11.3
25,-79.4,43.67,TORONTO,6158350,1998-02,1998,2,3.6,-0.9,1.4,9.3,-10.8
26,-79.4,43.67,TORONTO,6158350,1998-03,1998,3,6.6,0.3,3.5,25.7,-12.9
27,-79.4,43.67,TORONTO,6158350,1998-04,1998,4,13.8,5.8,9.8,20.7,0.8
28,-79.4,43.67,TORONTO,6158350,1998-05,1998,5,22.3,13.6,18.0,29.3,8.4
29,-79.4,43.67,TORONTO,6158350,1998-06,1998,6,24.2,15.1,19.6,31.6,6.0
30,-79.4,43.67,TORONTO,6158350,1998-07,1998,7,26.6,18.0,22.3,31.8,13.8
31,-79.4,43.67,TORONTO,6158350,1998-08,1998,8,26.8,18.4,22.7,32.8,12.3
32,-79.4,43.67,TORONTO,6158350,1998-09,1998,9,23.9,14.9,19.4,33.2,7.6
33,-79.4,43.67,TORONTO,6158350,1998-10,1998,10,15.7,8.6,12.2,21.5,3.0
34,-79.4,43.67,TORONTO,6158350,1998-11,1998,11,8.8,3.7,6.3,16.4,-1.3
35,-79.4,43.67,TORONTO,6158350,1998-12,1998,12,5.5,-0.8,2.3,16.8,-16.0
